证券代码,公司中文名称
114116.SZ,山东新兴置业有限公司
000981.SZ,山子高科技股份有限公司
124856.SH,常州公共住房建设投资发展有限公司
178955.SH,常熟市虞山镇城乡一体化建设有限公司
002016.SZ,广东世荣兆业股份有限公司
188342.SH,广东星河湾房地产(集团)有限公司
114294.SZ,广东海伦堡地产集团有限公司
188925.SH,广东珠江投资股份有限公司
002133.SZ,广宇集团股份有限公司
139822.SZ,广州合景控股集团有限公司
2777.HK,广州富力地产股份有限公司
115479.SH,广州市城市建设开发有限公司
136346.SH,广州市天建房地产开发有限公司
175505.SH,广州市方圆房地产发展有限公司
163315.SH,广州市时代控股集团有限公司
600684.SH,广州珠江发展集团股份有限公司
127830.SH,广州珠江实业集团有限公司
102380136.IB,广州番禺雅居乐房地产开发有限公司
600393.SH,广州粤泰集团股份有限公司
155260.SH,广西荣和有限责任公司
136374.SH,建业住宅集团(中国)有限公司
0832.HK,建业地产股份有限公司
1908.HK,建发国际投资集团有限公司
180484.SH,建发房地产集团上海有限公司
179966.SH,建发房地产集团有限公司
1996.HK,弘阳地产集团有限公司
1107.HK,当代置业(中国)有限公司
143023.SZ,徐州市彭盛建设发展有限公司
136608.SZ,徐州市新沂经济技术开发有限责任公司
2019.HK,德信中国控股有限公司
156626.SH,恒大地产集团有限公司
0845.HK,恒盛地产控股有限公司
3616.HK,恒达集团(控股)有限公司
102382058.IB,成都兴城人居地产投资集团股份有限公司
112374.SH,成都兴锦城建设有限公司
138484.SZ,成都市金堂县航信物业管理有限责任公司
031490976.IB,成都成房置业有限公司
121577.SZ,招商局光明科技园有限公司
001914.SZ,招商局积余产业运营服务股份有限公司
0978.HK,招商局置地有限公司
177469.SH,新力地产集团有限公司
000620.SZ,新华联文化旅游发展股份有限公司
1030.HK,新城发展控股有限公司
601155.SH,新城控股集团股份有限公司
082380170.IB,新希望五新实业集团有限公司
2699.HK,新明中国控股有限公司
600208.SH,新湖中宝股份有限公司
102000385.IB,无锡市安居投资发展有限公司
0884.HK,旭辉控股(集团)有限公司
1233.HK,时代中国控股有限公司
600053.SH,昆吾九鼎投资控股股份有限公司
032280249.IB,昆明国家高新技术产业开发区国有资产经营有限公司
179771.SH,昆明通泰置业有限公司
0846.HK,明发集团(国际)有限公司
2231.HK,景业名邦集团控股有限公司
151925.SH,景瑞地产(集团)有限公司
1862.HK,景瑞控股有限公司
0106.HK,朗诗绿色管理有限公司
082280497.IB,杭州武林广场地下商城建设有限公司
002244.SZ,杭州滨江房产集团股份有限公司
178225.SH,杭州萧山安居住房保障集团有限公司
139462.SH,柳州市房地产开发有限责任公司
600185.SH,格力地产股份有限公司
149565.SZ,正兴隆房地产(深圳)有限公司
135850.SH,正源房地产开发有限公司
163782.SH,正荣地产控股有限公司
6158.HK,正荣地产集团有限公司
250392.SH,武汉新区建设开发投资有限公司
9968.HK,汇景控股有限公司
1663.HK,汉港控股集团有限公司
135862.SH,汕头花园集团有限公司
000961.SZ,江苏中南建设集团股份有限公司
600716.SH,江苏凤凰置业投资股份有限公司
002077.SZ,江苏大港股份有限公司
114380.SZ,江西省正荣房地产开发有限公司
000014.SZ,沙河实业股份有限公司
112434.SZ,河南宏光正商置业有限公司
082300338.IB,河南省豫资保障房管理运营有限公司
1124.HK,沿海绿色家园有限公司
000046.SZ,泛海控股股份有限公司
000732.SZ,泰禾集团股份有限公司
600215.SH,派斯林数字科技股份有限公司
199430.SH,济南城市建设集团投资有限公司
600807.SH,济南高新发展股份有限公司
600052.SH,浙江东望时代科技股份有限公司
135562.SZ,浙江润嘉置地有限公司
167137.SH,浙江青山湖科研创新基地投资有限公司
000567.SZ,海南海德资本管理股份有限公司
000886.SZ,海南高速公路股份有限公司
000616.SZ,海航投资集团股份有限公司
2278.HK,海蓝控股有限公司
125370.SH,淮安市兴淮农村经济发展有限公司
125527.SH,淮安恒兴综合大市场开发有限公司
125169.SH,淮安软件园管理发展有限公司
002285.SZ,深圳世联行集团股份有限公司
000069.SZ,深圳华侨城股份有限公司
135646.SH,深圳卓越世纪城房地产开发有限公司
000042.SZ,深圳市中洲投资控股股份有限公司
137400.SZ,深圳市卓越商业管理有限公司
000006.SZ,深圳市振业(集团)股份有限公司
002314.SZ,深圳市新南山控股(集团)股份有限公司
000011.SZ,深圳市物业发展(集团)股份有限公司
136887.SZ,深圳市龙光控股有限公司
0604.HK,深圳控股有限公司
112448.SZ,深圳深国投房地产开发有限公司
000029.SZ,深圳经济特区房地产(集团)股份有限公司
600162.SH,深圳香江控股股份有限公司
6968.HK,港龙中国地产集团有限公司
185306.SH,湖北清能投资发展集团有限公司
000926.SZ,湖北福星科技股份有限公司
2224005.IB,湖北荆门城建集团房地产开发有限公司
125630.SH,湖南南庭投资有限公司
184740.SH,滕州市城市建设综合开发有限公司
1176.HK,珠光控股集团有限公司
600325.SH,珠海华发实业股份有限公司
122474.SH,珠海格力房产有限公司
000691.SZ,甘肃亚太实业发展股份有限公司
1168.HK,百仕达控股有限公司
0727.HK,皇冠环球集团有限公司
102281381.IB,盐城市盐都区国有资产投资经营有限公司
112950.SZ,石榴置业集团有限公司
2007.HK,碧桂园控股有限公司
114872.SZ,祥生地产集团有限公司
2599.HK,祥生控股(集团)有限公司
118350.SZ,福建阳光集团有限公司
112346.SZ,福星惠誉控股有限公司
0627.HK,福晟国际控股集团有限公司
1628.HK,禹洲集团控股有限公司
118513.SZ,积水置业(无锡)有限公司
0124.HK,粤海置地控股有限公司
1396.HK,粤港湾控股有限公司
125556.SH,纳雍县金熙开发投资有限公司
600606.SH,绿地控股集团股份有限公司
0337.HK,绿地香港控股有限公司
169147.SH,绿城房地产集团有限公司
0095.HK,绿景(中国)地产投资有限公司
000502.SZ,绿景控股股份有限公司
000667.SZ,美好置业集团股份有限公司
3990.HK,美的置业控股有限公司
138777.SH,美的置业集团有限公司
102380345.IB,联发集团有限公司
1777.HK,花样年控股集团有限公司
175447.SH,花样年集团(中国)有限公司
000718.SZ,苏宁环球股份有限公司
ZC16042710.SH,苏宁置业集团有限公司
199369.SH,苏州城投瀚远置业有限公司
102382065.IB,苏州工业园区兆润投资控股集团有限公司
136496.SH,苏州工业园区华成房地产开发有限公司
189902.SH,苏州工业园区科技发展有限公司
122577.SH,苏州市相城城市建设投资(集团)有限公司
125511.SH,苏州德胜东弇建设发展有限公司
179934.SH,苏州恒泰商用置业有限公司
600736.SH,苏州新区高新技术产业股份有限公司
101900874.IB,苏州浒墅关城市运营服务集团有限公司
125025.SH,苏州漕湖科技发展股份有限公司
2380187.IB,苏州苏高新集团有限公司
000668.SZ,荣丰控股集团股份有限公司
000517.SZ,荣安地产股份有限公司
002146.SZ,荣盛房地产发展股份有限公司
000558.SZ,莱茵达体育发展股份有限公司
188318.SH,融侨集团股份有限公司
169125.SH,融信(福建)投资集团有限公司
3301.HK,融信中国控股有限公司
133033.SZ,融创房地产集团有限公司
135666.SH,融科智地科技股份有限公司
